,0
ArrivedCars_WS,12.0
ServedCars._WS,8.0
TotalEnergyLoaded(MWh)_WS,0.1832
CarsNotServed_WS,4.0
F1_LoadFactorCars(%)_WS,66.67
F2_LoadFactorEnergy(%)_WS,110.34
F3_LoadFactorTime(%)_WS,44.21
MaxDiversityFactorWS,11.13
TrafoPeakLoad(%)_WS,80.0
CO2Emissions(kge)_WS,103.1
EnergyCosts(Euro)_WS,46.11
SpecificEnergyCosts(Euro_per_kWh)_WS,25.17
Satisfaction(%)_WS,87.5
final_soc_WS_ev1030_86025826,0.9999640848788935
final_soc_WS_ev2220_10084514,0.9999999907271209
final_soc_WS_ev4021_87366379,0.9941717056719813
final_soc_WS_ev5283_46357004,0.999998340126208
final_soc_WS_ev6495_70456609,0.9999999988800378
final_soc_WS_ev6958_36024714,0.803335106162204
final_soc_WS_ev7883_9255440,0.9999999997548115
final_soc_WS_ev8288_5137371,0.9828531247634293
