,0
ArrivedCars_UC,12.0
ServedCars._UC,8.0
TotalEnergyLoaded(MWh)_UC,0.071
CarsNotServed_UC,4.0
F1_LoadFactorCars(%)_UC,66.67
F2_LoadFactorEnergy(%)_UC,1185600.23
F3_LoadFactorTime(%)_UC,44.21
MaxDiversityFactorUC,308499.47
TrafoPeakLoad(%)_UC,83.49
CO2Emissions(kge)_UC,37.35
EnergyCosts(Euro)_UC,17.79
SpecificEnergyCosts(Euro_per_kWh)_UC,25.05
Satisfaction(%)_UC,0.0
final_soc_UC_ev1030_50025297,0.8573800820753767
final_soc_UC_ev2220_48120568,0.4000487988312419
final_soc_UC_ev4021_82156248,0.40001209826194906
final_soc_UC_ev5283_61810919,0.4000301945531081
final_soc_UC_ev6495_72859730,0.40004890049302866
final_soc_UC_ev6958_67969276,0.803335106162204
final_soc_UC_ev7883_59379142,0.857391119243124
final_soc_UC_ev8288_85703520,0.8573741893731274
